"","Latitude","Longitude","ml","Bearing"
"115",38.8022,43.254,1.5,4.86312743441636
"116",38.8137,43.4462,1.4,4.8612532497154
"117",38.7513,43.5952,1.1,4.86797246877252
"118",38.7212,43.411,2.7,4.8720251059513
"119",39.7872,38.851,1.6,4.70310883504844
"120",40.8112,27.7382,1.2,1.86865299238256
"121",38.5732,39.6232,1.4,4.9297636903557
"122",39.1162,29.0213,1,1.38678655769606
"123",39.1553,29.0893,1.9,1.39814281195466
"124",36.696,27.1145,1.1,0.95117463898422
"125",35.5138,26.5798,2.2,0.832411444283858
"126",41.9262,42.6215,1.3,4.47250783905949
"127",35.282,26.4727,1.1,0.814028436884365
"128",38.7757,40.1092,1.1,4.88796392461726
"129",38.7888,40.0913,1.3,4.88601109385306
"130",38.8292,40.1252,1.1,4.87894588245854
"131",38.83,40.1308,2,4.87875345257282
"132",35.623,31.4602,1.4,0.208627730805244
"133",37.9152,28.7873,1.1,1.03765298141541
"134",39.6025,39.758,1,4.74674822026287
"135",35.7387,43.2763,1.3,5.19048952153058
"136",35.0673,28.3753,1.7,0.614511975616904
"137",39.1093,29.0405,1,1.38354686898935
"138",35.7458,26.1995,1.1,0.888517285234194
"139",37.5092,38.4985,1.1,5.15926428540327
"140",35.7697,27.8812,1,0.747958745762723
"141",35.7948,27.8798,2.4,0.751320856301345
"142",39.4597,33.0087,1,5.00995556549879
"143",39.418,33.0882,1.5,5.05909496524773
"144",39.4232,33.0678,1.7,5.05998293358987
"145",37.023,29.2637,1,0.774664619590908
"146",37.0107,29.2458,1.1,0.774930202156814
"147",36.8898,26.2773,1.2,1.04029787946098
"148",39.2588,41.0418,1.4,4.80661525974153
"149",38.3525,39.307,1.9,4.97578115932261
"150",38.404,39.0475,1.4,4.97357470893558
"151",35.7563,29.7573,1,0.510936199266469
"152",39.606,42.829,1,4.76518974301785
"153",40.4162,28.9878,1.2,1.85112228808348
"154",40.2617,27.985,1.2,1.73988927168035
"155",35.057,26.9162,1.1,0.753789567000731
"156",39.3647,40.8557,1.3,4.79035006351095
"157",38.2897,38.8255,1.3,5.00172558221437
"158",38.1812,26.594,1.9,1.24810740274685
"159",38.157,26.5268,1.9,1.24614155998326
"160",38.1455,26.5287,1.7,1.24385075180083
"161",39.3623,40.9178,1.7,4.79082617497105
"162",39.3888,40.8005,1.5,4.78651839159608
"163",39.3475,40.8847,1.9,4.79303965079917
"164",39.3883,40.8538,1.7,4.78671046776964
"165",35.7565,29.5897,1.3,0.535824527108797
"166",35.7965,29.6023,1.8,0.538560601706278
"167",37.019,27.7387,1,0.951940691964327
"168",37.0072,27.8002,1.3,0.94416978023014
"169",37.05,28.26,1.3,0.90614530654268
"170",38.37,39.22,1.5,4.97500741565648
"171",37.26,27.9,1,0.981734348824828
"172",37.13,27.74,1,0.971876344509143
"173",37.09,27.65,1.4,0.972592179824942
"174",37.07,27.7,1,0.964564633895924
"175",39.63,43.94,1.2,4.76914634104362
"176",39.93,40.83,1.1,4.70259608557299
"177",39.92,40.82,1.4,4.70402847400487
"178",38.01,38.24,1,5.07970458558311
"179",38.11,28.89,1.4,1.07819436081228
"180",38.14,28.86,1.2,1.08957375626379
"181",38.33,38.98,1.4,4.98925169394362
"182",40.39,26.19,1.6,1.7013085403758
"183",38.21,26.79,1.9,1.24563818136981
"184",38.7,30.87,1.6,0.972074552662208
"185",38.69,27.49,1.2,1.32300488178582
"186",38.16,26.99,1.7,1.22643303534749
"187",40.8,28.82,1,1.95673982071234
"188",36.27,27.22,1,0.87834641240254
"189",37,29.57,1,0.722878546926765
"190",37.03,28.11,1.1,0.918096262420624
"191",37.04,28.17,1,0.913761950648087
"192",35.29,28.7,1,0.600943143908474
"193",36.24,28.27,1.1,0.770728258694334
"194",37.94,28.56,1.5,1.06732272981619
"195",36.99,26.9,1.2,1.01483862320764
"196",40.33,27.21,1.9,1.72397518144189
"197",35.54,26.29,1.1,0.85733326910612
"198",35.89,27.35,1.6,0.814682505370427
"199",35.48,26.37,1.1,0.844408588985692
"200",39.66,28.65,1.2,1.57903960320197
"201",38.79,26.57,1.5,1.37169505984041
"202",38.41,27.19,1.3,1.27060569502759
"203",35.96,27.79,1.2,0.782144086282446
"204",36.91,30.73,1,0.482839065797646
"205",38.55,27.66,1,1.28217188397838
"206",36.28,28.15,1,0.789834069486245
"207",35.2,26.26,1.1,0.820930512771298
"208",36.19,30.74,1.3,0.389843163215413
"209",40.45,26.12,1.7,1.71097341381652
"210",40.48,26.08,1.2,1.7155486581151
"211",40.4,26.24,1,1.70489800907672
"212",35.62,27.34,1,0.781318731697705
"213",36.57,28.48,1,0.797546571254291
"214",38.55,27.22,1.2,1.30056321422076
"215",35.4,27.65,1.1,0.725950782245542
"216",35.28,27.06,1,0.766084149275128
"217",39.43,26.36,1,1.50726787970573
"218",39.32,29.47,1.5,1.44915205261018
"219",37.34,30.18,1.1,0.681341560968554
"220",37.09,36.77,1,5.37488268997971
"221",37.16,36.85,1.2,5.35303508222807
"222",36.36,43.46,1,5.12563896548348
"223",37.11,36.85,1,5.36258035009867
"224",37.51,29.87,1,0.779897257764038
"225",37.03,29.04,1.5,0.807800395155204
"226",37.55,29.79,1,0.803860915199668
"227",37.48,29.81,1,0.783567204636567
"228",39.05,29.71,1.7,1.3229374343216
"229",37.58,29.6,1.6,0.843368804824725
"230",37.51,29.71,1.4,0.808100753153735
"231",37.64,29.72,1.8,0.838320398616613
"232",39.62,27.32,1.3,1.55412249819516
"233",39.19,29.36,1.3,1.40044819279023
"234",39.36,29.24,1.5,1.47059610535168
"235",35.99,28.24,1,0.738813252935245
"236",39.6,38.78,1.1,4.74090177991789
"237",38.98,30.02,1,1.26433664237604
"238",39.01,29.7,1.1,1.30664461071697
"239",39.01,29.85,1,1.29422275780714
"240",39.13,28.65,1.4,1.40465491311247
"241",39.02,29.77,1,1.30535144448733
"242",39.03,29.8,1.4,1.30728073313202
"243",40,30.9,1,1.88921750652959
"244",39.03,29.76,1.6,1.31049234459816
"245",39.02,29.91,1.3,1.29339618125746
"246",39.34,29.32,1.2,1.46108142699931
"247",39.09,29.59,1.1,1.34799947049081
"248",39.34,29.26,1.3,1.46242052622738
"249",39.06,29.74,1.3,1.32503905553156
"250",39.15,29.56,1.1,1.37474298273417
"251",39.21,29.51,3,1.40211241892335
"252",38.62,44.8,1.2,4.87875003494283
"253",39.2,28.4,1,1.43325234540727
"254",39.25,41.38,1.1,4.80796119999083
"255",36.73,28.35,1,0.839153349476061
"256",35.41,27.68,1.1,0.724197626688873
"257",39.12,28.52,1.2,1.4054270348185
"258",35.23,27.72,1,0.699875207873916
"259",38.47,26.41,1.5,1.31120861312026
"260",38.55,28.46,2.6,1.23817923402932
"261",39.25,28.44,1.7,1.44784242477347
"262",39.11,28.51,1.1,1.40260668604971
"263",39.14,28.48,1.8,1.41279432699845
"264",36.11,29.19,2,0.637081078569909
"265",36.6,27.07,1,0.939813638833012
"266",36.6,26.92,2.1,0.951583867400808
"267",36.74,27.11,1.1,0.958490241864226
"268",36.62,27.01,1.6,0.947642636367853
"269",39.24,40.29,1,4.81010903388985
"270",39.19,40.29,1,4.81833825019193
"271",41.81,32.39,2.1,3.08980769272175
"272",37,43.13,1,5.06761989165449
"273",35.54,28,1.2,0.707275447474373
"274",35.43,27.92,1.2,0.702562200059189
"275",38.15,42.85,1,4.94283716460804
"276",35.45,27.88,1.6,0.70897143868199
"277",39.24,44.23,1.3,4.81352806025947
"278",36.65,26.74,1,0.972651945961604
"279",37.22,29.05,1,0.844322234359419
"280",40.72,30.52,1.5,2.19763067536348
"281",39.54,40.38,1.6,4.76093415537472
"282",40.67,30.69,2.3,2.21934284057979
"283",38.1,28.87,1.3,1.07756532007945
"284",40.85,33.65,1.1,3.73462104238179
"285",35.89,44.88,1.1,5.13633779575333
"286",41.09,44.31,1.3,4.61242074318661
"287",41.09,33.56,1.1,3.62181838578546
"288",37.77,29.97,1.1,0.827730158659029
"289",39.16,40.7,1.4,4.82212992929225
"290",39.42,40.98,1.7,4.78217702157516
"291",38.99,41.77,1,4.84395499365651
"292",39.41,41.3,1.2,4.78458289404854
"293",39.17,41.56,2.1,4.81933522346602
"294",37.75,27.79,1.3,1.09058550653263
"295",37.74,27.71,1.1,1.09459704563751
"296",38.14,42.52,1,4.94789973334417
"297",39.2,41.6,1.4,4.81508832551268
"298",36.12,27.43,1.4,0.838512381713009
"299",39.36,40.79,1.3,4.79096790325511
"300",40.51,26.17,1.4,1.72449989928335
"301",38,41.3,1.1,4.98500657182891
"302",37.85,29.32,1.5,0.954990786699996
"303",36.82,30.94,1.1,0.42186920481368
"304",36.46,26.1,1.3,0.988636443017195
"305",40.3,28.23,3,1.7631137416855
"306",40.24,28.16,1.3,1.7422429904777
"307",35.69,29.07,1.2,0.599983395958074
"308",35.56,28.84,1.3,0.614053904479122
"309",36.13,26.01,1.4,0.949951753644844
"310",38.13,38.51,1.7,5.04402520134703
"311",37.41,29.89,1.5,0.752916868165266
"312",35.48,29.61,1,0.503088527631891
"313",40.77,29.12,2,1.98039744894708
"314",36.84,28.76,1,0.809418323496926
"315",41.37,38.75,1.3,4.38518601857614
"316",35.88,44.36,1.1,5.14889374206942
"317",40.29,26.15,1,1.68015798604776
"318",37.96,29.14,1.3,1.00839578548549
"319",39.96,44.13,1.2,4.73378870304953
"320",36.09,26.88,1.3,0.8815151417122
"321",36.03,26.87,1.6,0.874249704239143
"322",36.15,27.23,1.1,0.860517108219073
"323",41.11,44.18,1,4.60765860060118
"324",39.99,26.1,1.1,1.61905159969815
"325",36.7,28.49,2,0.817951040827204
"326",36.59,27.02,1,0.9422605606421
"327",36.75,27.07,1,0.963233434220711
"328",35.42,26.14,1.3,0.854252833500942
"329",35.58,28.49,1.1,0.658256050803451
"330",37,28.93,1.1,0.816886342318523
