"","watershed.mean.orientation.fires","watershed.mean.burnt.logareas"
"1",0.516895496943018,3.1735356864132
"2",5.3568114394485,3.06666431943235
"3",0.206852544334404,2.99536631425589
"4",0.0931637768802414,3.08051092513941
"5",0.254590055470031,3.05610271428253
"6",3.21747006862328,3.36437868608797
"7",1.44308060327121,3.03204005864415
"8",5.82644982721577,3.81608965392606
"9",5.88074388932414,3.42990990670289
"10",0.29089783989322,3.30470407887001
"11",5.01239340076734,3.35846943820271
"12",6.0306785974897,3.00557296482555
"13",4.86467642555605,3.28479613165672
"14",0.420792237382799,2.47165004623828
"15",5.16907852840503,3.26785839290445
"16",4.62720970629111,3.39699326964989
"17",5.76572083305928,3.26752150787749
"18",0.0406512367786957,3.49536826205605
"19",5.02725017653624,3.35419606669087
"20",3.35576464214928,3.48008053635828
"21",0.0362396462888205,3.62668414621675
"22",5.21086144426998,3.6177478851664
"23",4.9411548976628,3.55526791348449
"24",4.59030054801992,3.69251776829768
"25",4.88066123213802,3.46121627375913
"26",5.35972707648871,3.59998587013333
"27",2.14483055122346,3.82844309485053
"28",1.66058718738818,3.1345260776048
"29",1.76311949428424,3.45069415818008
"30",1.5437458895711,3.44479607316241
"31",1.14730135046728,3.16750935707702
"32",2.07875086848976,3.50453236181356
"33",4.71920243524858,3.76426828696822
"34",5.1674481099042,3.502380304471
"35",0.25372996136421,3.83182917922269
"36",2.93135191000671,3.5441619751752
"37",0.473987850639184,3.5304195536703
"38",2.63573115975273,3.50151052637792
"39",5.58767106697518,3.98187404496344
"40",0.141169511802467,3.36333633279518
"41",4.065382490421,3.59561151446372
"42",1.2159895780164,3.38880340308762
"43",1.63942170596444,3.62363804475508
"44",1.17935626005309,3.4081439521273
"45",6.03639845382632,3.43839875610768
"46",4.57910521599463,3.82755685969393
"47",3.32760462743227,3.89416125354259
"48",5.4995914776036,3.3328686038301
"49",2.19495798122017,3.46618277345698
"50",4.78285342201121,3.39116096067291
"51",0.0241602051391242,3.55236470135562
"52",4.82144941539222,3.69004789547183
"53",0.760969377513436,2.70238897847444
"54",1.74811811516692,3.52156789939414
"55",4.68297074916128,3.37437592067186
"56",2.11164486970505,3.26554188771641
"57",1.18781220925708,3.35633357538866
"58",4.03578554824182,3.3181405029987
"59",3.39631661543402,3.24635906653244
"60",4.72544112157905,3.44050106546336
"61",0.51873489402271,2.67163516717068
"62",5.26177978492304,3.33942454780692
"63",1.64145027931575,2.85159838990841
"64",4.09906833551864,3.28654511458982
"65",6.19392485678332,2.9626755564782
"66",2.61566448397972,3.22190740899783
"67",4.31046648712495,3.17193074867844
"68",4.730371247695,2.99606695603796
"69",5.75281385086658,2.50702893082137
"70",4.17850844869936,3.28991501770715
"71",4.6504762826941,3.20310880015216
"72",4.49951496565077,3.10145175659018
"73",3.79934186893449,3.47265849746567
"74",1.91868785527161,3.43858709701535
"75",0.381648160080145,3.1075844151416
"76",0.14620887053527,3.27676169922827
"77",3.61115858031767,3.1340443550988
"78",3.31801493262227,3.35970125275623
"79",5.34769048132445,3.25604107549673
"80",5.60248204601764,3.37596068424642
"81",0.438904354650133,3.07067910202072
"82",5.7913202723572,3.25487605755885
"83",0.553561034653554,3.30494191048576
"84",1.57599795931841,3.28275582129187
"85",4.87998442282564,2.87924686328874
"86",4.0043713094861,2.89331462818159
"87",5.96488245019646,3.44418834814874
"88",4.64075653550894,3.2599247078578
"89",3.36870031209836,3.31815176977772
"90",3.42002076359205,3.9670709489494
"91",3.07869967950753,3.19520106955177
"92",2.57633339504094,3.09190705489825
"93",3.07196179468424,3.19228394895061
"94",6.04663475607061,2.83621529611486
"95",6.25143445824871,3.00429948443718
"96",0.419741773435132,2.77667679222429
"97",0.163730940021968,2.768482267099
"98",2.23252446576176,4.1219460027343
"99",0.374272990182055,3.17357334368083
"100",0.198963090991606,3.48646579839404
"101",6.04037187437278,2.97386905242443
"102",2.21512838298277,3.16669610134263
